Season , Episode , Title                               , Parts (if any)   ,"Part (0 - one part, 1 - one of two, 2 - two of two)","Part (0 - one part, 1 - one of two, 2 - two of two)", Doctor      , Note,The Essentials,The Face of Boe,The Doctor Donna,River Song,The Girl Who Waited,The Impossible Girl
6, X       , A Christmas Carol                   ,1,0,0, 11th Doctor , Christmas Special,,,,,,
6,1, The Impossible Astronaut            , 1 - (Part One)   ,1,1, 11th Doctor, ,,,,,,
6,2, Day Of The Moon                     , 1 - (Part Two)   ,2,2, 11th Doctor, ,,,,,,
6,3, The Curse Of The Black Spot         ,1,0,0, 11th Doctor, ,,,,,,
6,4, The Doctor's Wife                   ,1,0,0, 11th Doctor, ,,,,,,
6,5, The Rebel Flesh                     , 1 - (Part One)   ,1,1, 11th Doctor, ,,,,,,
6,6, The Almost People                   , 1 - (Part Two)   ,2,2, 11th Doctor, ,,,,,,
6,7, A Good Man Goes To War              , 1 - (Part One)   ,1,1, 11th Doctor, ,,,,,,
6,8, Let's Kill Hitler                   ,1,0,0, 11th Doctor, ,,,,,,
6,9, Night Terrors                       ,1,0,0, 11th Doctor, ,,,,,,
6,10, The Girl Who Waited                 ,1,0,0, 11th Doctor, ,,,,,,
6,11, The God Complex                     ,1,0,0, 11th Doctor, ,,,,,,
6,12, Closing Time                        ,1,0,0, 11th Doctor, ,,,,,,
6,13, The Wedding Of River Song           ,1,0,0, 11th Doctor, ,,,,,,
7, X       , The Widow And The Wardrobe          ,1,0,0, 11th Doctor , Christmas Special,,,,,,
7,1, Asylum Of The Daleks                ,1,0,0, 11th Doctor, ,,,,,,
7,2, Dinosaurs On A Spaceship            ,1,0,0, 11th Doctor, ,,,,,,
7,3, A Town Called Mercy                 ,1,0,0, 11th Doctor, ,,,,,,
7,4, The Power Of Three                  ,1,0,0, 11th Doctor, ,,,,,,
7,5, The Angels Take Manhattan           ,1,0,0, 11th Doctor, ,,,,,,
7, XB      , The Snowmen                         ,1,0,0, 11th Doctor , Christmas Special,,,,,,
7,6, The Bells Of Saint John             ,1,0,0, 11th Doctor, ,,,,,,
7,7, The Rings Of Akhaten                ,1,0,0, 11th Doctor, ,,,,,,
7,8, Cold War                            ,1,0,0, 11th Doctor, ,,,,,,
7,9, Hide                                ,1,0,0, 11th Doctor, ,,,,,,
7,10, Journey To The Centre Of The TARDIS ,1,0,0, 11th Doctor, ,,,,,,
7,10, The Crimson Horror                  ,1,0,0, 11th Doctor, ,,,,,,
7,12, Nightmare In Silver                 ,1,0,0, 11th Doctor, ,,,,,,
7,13, The Name Of The Doctor              ,1,0,0, 11th Doctor, ,,,,,,
7,14, The Day Of The Doctor               ,1,0,0, 11th Doctor , also with The War Doctor (a.k.a. The 9th Doctor) & 10th Doctor , 50th Anniversary Special ,,, Episode,,
8, X       , The Time Of The Doctor              ,1,0,0, 11th Doctor , Christmas Special,,,,,,
8,1, Deep Breath                         ,1,0,0, 12th Doctor, ,,,,,,
8,2, Into The Dalek                      ,1,0,0, 12th Doctor, ,,,,,,
8,3, Robot Of Sherwood                   ,1,0,0, 12th Doctor, ,,,,,,
8,4, Listen                              ,1,0,0, 12th Doctor, ,,,,,,
8,5, Time Heist                          ,1,0,0, 12th Doctor, ,,,,,,
8,6, The Caretaker                       ,1,0,0, 12th Doctor, ,,,,,,
8,7, Kill The Moon                       ,1,0,0, 12th Doctor, ,,,,,,
8,8, Mummy On The Orient Express         ,1,0,0, 12th Doctor, ,,,,,,
8,9, Flatline                            ,1,0,0, 12th Doctor, ,,,,,,
8,10, In The Forest Of The Night          ,1,0,0, 12th Doctor, ,,,,,,
8,11, Dark Water                          , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
8,12, Death In Heaven                     , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
9, X       , Last Christmas                      ,1,0,0, 12th Doctor , Christmas Special,,,,,,
9,1, The Magician's Apprentice           , 1 - (Part One)   ,1,1, 12th Doctor, ,,,,,,
9,2, The Witch's Familiar                , 1 - (Part Two)   ,2,2, 12th Doctor, ,,,,,,
